filename,label
cat_000000.jpg,cat
cat_000001.jpg,cat
cat_000002.jpg,cat
cat_000003.jpg,cat
cat_000004.jpg,cat
cat_000005.jpg,cat
cat_000006.jpg,cat
cat_000007.jpg,cat
cat_000008.jpg,cat
cat_000009.jpg,cat
cat_000010.jpg,cat
cat_000011.jpg,cat
cat_000012.jpg,cat
cat_000013.jpg,cat
cat_000014.jpg,cat
cat_000015.jpg,cat
cat_000016.jpg,cat
cat_000017.jpg,cat
cat_000018.jpg,cat
cat_000019.jpg,cat
cat_000020.jpg,cat
cat_000021.jpg,cat
cat_000022.jpg,cat
cat_000023.jpg,cat
cat_000024.jpg,cat
cat_000025.jpg,cat
cat_000026.jpg,cat
cat_000027.jpg,cat
cat_000028.jpg,cat
cat_000029.jpg,cat
cat_000030.jpg,cat
cat_000031.jpg,cat
cat_000032.jpg,cat
cat_000033.jpg,cat
cat_000034.jpg,cat
cat_000035.jpg,cat
cat_000036.jpg,cat
cat_000037.jpg,cat
cat_000038.jpg,cat
cat_000039.jpg,cat
cat_000040.jpg,cat
cat_000041.jpg,cat
cat_000042.jpg,cat
cat_000043.jpg,cat
cat_000044.jpg,cat
cat_000045.jpg,cat
cat_000046.jpg,cat
cat_000047.jpg,cat
cat_000048.jpg,cat
cat_000049.jpg,cat
cat_000050.jpg,cat
cat_000051.jpg,cat
cat_000052.jpg,cat
cat_000053.jpg,cat
cat_000054.jpg,cat
cat_000055.jpg,cat
cat_000056.jpg,cat
cat_000057.jpg,cat
cat_000058.jpg,cat
cat_000059.jpg,cat
cat_000060.jpg,cat
cat_000061.jpg,cat
cat_000062.jpg,cat
cat_000063.jpg,cat
cat_000064.jpg,cat
cat_000065.jpg,cat
cat_000066.jpg,cat
cat_000067.jpg,cat
cat_000068.jpg,cat
cat_000069.jpg,cat
cat_000070.jpg,cat
cat_000071.jpg,cat
cat_000072.jpg,cat
cat_000073.jpg,cat
cat_000074.jpg,cat
cat_000075.jpg,cat
cat_000076.jpg,cat
cat_000077.jpg,cat
cat_000078.jpg,cat
cat_000079.jpg,cat
cat_000080.jpg,cat
cat_000081.jpg,cat
cat_000082.jpg,cat
cat_000083.jpg,cat
cat_000084.jpg,cat
cat_000085.jpg,cat
cat_000086.jpg,cat
cat_000087.jpg,cat
cat_000088.jpg,cat
cat_000089.jpg,cat
